Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2024-08-08,-0.006800656475740086,-0.01156561378049207,-0.007428747813561065
2024-08-09,0.009797327327833666,0.010618764450545014,0.010386864037815746
2024-08-12,-0.003724872471942742,-0.0012884321304189386,-0.0008412844977941925
2024-08-13,-0.002457526134860098,-0.007166034293814921,-0.008543146999630324
2024-08-14,-0.001400114391225456,-0.0044367711097649315,0.00019677699987563635
2024-08-16,0.014669732736280484,0.016782304440409155,0.016459762490292462
2024-08-19,-0.000904587717174103,0.004115877469005306,0.0012835584110202358
2024-08-20,0.0018255212086061216,0.006801270044078446,0.005135759339910173
2024-08-21,0.006131005871685,0.006282181293398716,0.0028887826964991703
2024-08-22,0.001047848343318702,0.0020209431073018314,0.001667357653657442
2024-08-23,0.016608737672111018,-0.00012714970601615243,0.00046955607782672715
2024-08-26,0.00576138201849087,0.007300456584718575,0.007551387144671073
2024-08-27,0.0010531459233093924,-0.0009342848001170241,0.0002858944102370753
2024-08-28,0.007817692975387843,0.0010596183092383743,0.0013830024432652799
2024-08-29,0.003879120148953801,0.00361749653509864,0.00397565940632294
2024-08-30,0.007254029160633353,0.006436109743774594,0.003337760073577778
2024-09-02,0.007629322721511584,0.0026285415189257213,0.001695950113232314
2024-09-03,-0.004584190140416524,-0.0007642521758636583,4.550829989491412e-05
2024-09-04,-0.0025533790967076924,-0.002278412518290751,-0.0032100820170585243
2024-09-05,-0.006512786624429138,-0.001320371325474721,-0.0021270784221717465
2024-09-06,-0.005562718667702792,-0.009187394083525462,-0.011650350298901935
2024-09-09,0.0012896739918199637,0.000468221966501457,0.003390048695012693
2024-09-10,0.010995322967201177,0.0052601745179485385,0.0041986500501236534
2024-09-11,0.01084425243456911,-0.0050371811231550365,-0.004897963449619458
2024-09-12,0.023644572760930724,0.01959122953725982,0.01887963282727112
2024-09-13,-0.0023036882440099398,-0.00040158359314703074,-0.0012761636040355961
2024-09-16,-0.0017466070385533073,-0.0003414691069616112,0.0010746751326089488
2024-09-17,0.0107399843948821,0.0005919770727625066,0.0013709866056039743
2024-09-18,-0.011093403662397737,-0.003920533724412148,-0.0016129951842196455
2024-09-19,0.0012725219294553274,-0.0013172957908645466,0.0015072376499098983
2024-09-20,0.013299828807807303,0.012214444593586983,0.014760441377741573
2024-09-23,0.016097323373228885,0.007590761930862607,0.005742385099666292
2024-09-24,0.004278338939485161,0.000978312657069822,5.2030021699067674e-05
2024-09-25,-0.0007065108562958082,0.0015613422975068883,0.0024575565157058943
2024-09-26,0.010749472266036614,0.010296736149414296,0.008148714241454025
2024-09-27,0.0058464167383469375,0.004417513207583679,-0.0014152231703233875
2024-09-30,-0.013290593070929101,-0.007637284728910605,-0.014060900852023384
2024-10-01,-0.0025878589175528668,0.00029479435409755214,-0.0005404401234794243
2024-10-03,-0.020432980586628468,-0.019850411592389174,-0.021196375260987388
2024-10-04,-0.011368325473421922,-0.009867271515364848,-0.009326695880144675
2024-10-07,-0.006700274744439399,-0.011777448667963155,-0.008748875168602677
2024-10-08,0.011258869258827435,0.005871527348879415,0.00876764730346924
